category,tenor_years,bank,grr,spread,avg_lending_rate,average_apr,as_of,max_fees_total,fee_count,basis,source
household,3,Ecobank Ghana Limited,29.31,4.07,33.38,34.8,2024-09-30,2.25,4,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,First Atlantic Bank Limited,29.31,7.19,36.5,34.92,2024-09-30,3.5,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,OmniBSIC Bank Ghana Limited,29.31,1.69,31.0,35.04,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Prudential Bank Limited,29.31,2.19,31.5,35.35,2024-09-30,5.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Agricultural Development Bank Limited,29.31,3.77,33.08,36.13,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Guaranty Trust Bank (Ghana) Limited,29.31,5.69,35.0,36.84,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,United Bank for Africa (Ghana) Limited,29.31,7.69,37.0,38.0,2024-09-30,4.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Universal Merchant Bank Limited,29.31,7.69,37.0,39.27,2024-09-30,2.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,National Investment Bank Limited,29.31,14.3,43.61,43.62,2024-09-30,2.85,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,CalBank PLC,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,First National Bank (Ghana) Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Absa Bank Ghana Limited,29.31,-0.59,28.72,24.81,2024-09-30,2.73,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Societe General Ghana PLC,29.31,-5.22,24.09,25.0,2024-09-30,4.27,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Fidelity Bank Ghana Limited,29.31,-4.65,24.66,27.18,2024-09-30,6.3,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Republic Bank (Ghana) PLC,29.31,-1.96,27.35,28.18,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Stanbic Bank Ghana Limited,29.31,-1.96,27.35,29.22,2024-09-30,2.6,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Access Bank Ghana Plc,29.31,2.6,31.91,29.97,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Consolidated Bank Ghana Limited,29.31,0.29,29.6,30.32,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Zenith Bank (Ghana) Limited,29.31,-0.81,28.5,30.41,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Standard Chartered Bank (Ghana) Limited,29.31,-3.97,25.34,30.61,2024-09-30,0.02,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Bank of Africa Ghana Limited,29.31,-8.1,21.21,30.84,2024-09-30,4.58,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,GCB Bank Limited,29.31,-4.31,25.0,32.26,2024-09-30,3.8,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Prudential Bank Limited,29.31,1.39,30.7,32.36,2024-09-30,5.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Ecobank Ghana Limited,29.31,4.11,33.42,34.8,2024-09-30,2.25,4,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,OmniBSIC Bank Ghana Limited,29.31,1.69,31.0,35.04,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Guaranty Trust Bank (Ghana) Limited,29.31,5.69,35.0,35.88,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,United Bank for Africa (Ghana) Limited,29.31,7.69,37.0,38.0,2024-09-30,4.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Agricultural Development Bank Limited,29.31,4.01,33.32,38.05,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,First National Bank (Ghana) Limited,29.31,5.92,35.23,38.76,2024-09-30,4.9,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,First Atlantic Bank Limited,29.31,7.21,36.52,38.94,2024-09-30,3.5,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,National Investment Bank Limited,29.31,14.3,43.61,44.06,2024-09-30,3.75,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,CalBank PLC,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,FBNBank (Ghana) Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,5,Universal Merchant Bank Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Absa Bank Ghana Limited,29.31,-13.53,15.78,25.1,2024-09-30,2.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,GCB Bank Limited,29.31,5.79,35.1,30.25,2024-09-30,1.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Universal Merchant Bank Limited,29.31,2.58,31.89,32.9,2024-09-30,1.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Consolidated Bank Ghana Limited,29.31,5.49,34.8,33.38,2024-09-30,2.4,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Standard Chartered Bank (Ghana) Limited,29.31,-3.97,25.34,33.82,2024-09-30,0.02,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
