fund_id,slug,name,former_name,link,doc_count,factsheets,annual_reports
9021,nthc-horizon-fund,NTHC Horizon Fund,,https://annualreportsghana.com/cis/nthc-horizon-fund/,21,0,19
1013,omega-equity-fund,Omega Equity Fund,,https://annualreportsghana.com/cis/omega-equity-fund/,9,0,5
1006,omega-income-fund,Omega Income Fund,,https://annualreportsghana.com/cis/omega-income-fund/,9,0,5
7391,pinnacle-balanced-fund-previously-octanedc-bond-fund,Pinnacle Balanced Fund (previously OctaneDC Bond Fund),octanedc bond fund,https://annualreportsghana.com/cis/pinnacle-balanced-fund-previously-octanedc-bond-fund/,3,0,3
8474,platinum-debt-income-fund,Platinum Debt Income Fund,,https://annualreportsghana.com/cis/platinum-debt-income-fund/,3,0,1
1807,plus-balanced-fund,Plus Balanced Fund,,https://annualreportsghana.com/cis/plus-balanced-fund/,8,0,6
1809,plus-income-fund,Plus Income Fund,,https://annualreportsghana.com/cis/plus-income-fund/,9,0,6
7600,rangoon-reit,Rangoon REIT,,https://annualreportsghana.com/cis/rangoon-reit/,2,0,0
893,republic-equity-trust-formerly-hfc-equity-trust,Republic Equity Trust,hfc equity trust,https://annualreportsghana.com/cis/republic-equity-trust-formerly-hfc-equity-trust/,20,0,19
907,republic-future-plan-trust-formerly-hfc-future-plan-trust,Republic Future Plan Trust,hfc future plan trust,https://annualreportsghana.com/cis/republic-future-plan-trust-formerly-hfc-future-plan-trust/,16,0,15
919,republic-reit-formerly-hfc-reit,Republic REIT,hfc reit,https://annualreportsghana.com/cis/republic-reit-formerly-hfc-reit/,19,0,19
935,republic-unit-trust-formerly-hfc-unit-trust,Republic Unit Trust,hfc unit trust,https://annualreportsghana.com/cis/republic-unit-trust-formerly-hfc-unit-trust/,24,0,19
5620,republic-wealth-trust,Republic Wealth Trust,,https://annualreportsghana.com/cis/republic-wealth-trust/,5,0,4
989,sas-fortune-fund,SAS Fortune Fund,,https://annualreportsghana.com/cis/sas-fortune-fund/,21,0,20
4713,sas-midas-fund,SAS Midas Fund,,https://annualreportsghana.com/cis/sas-midas-fund/,7,0,6
9102,sem-income-fund,SEM Income Fund,,https://annualreportsghana.com/cis/sem-income-fund/,8,0,6
9112,sem-money-plus-fund,SEM Money Plus Fund,,https://annualreportsghana.com/cis/sem-money-plus-fund/,7,0,6
5613,sentinel-africa-eurobond-trust,Sentinel Africa Eurobond Trust,,https://annualreportsghana.com/cis/sentinel-africa-eurobond-trust/,13,8,0
6358,sentinel-commercial-real-estate-investment-trust,Sentinel Commercial Real Estate Investment Trust,,https://annualreportsghana.com/cis/sentinel-commercial-real-estate-investment-trust/,3,0,0
5615,sentinel-ghana-fixed-income-trust,Sentinel Ghana Fixed Income Trust,,https://annualreportsghana.com/cis/sentinel-ghana-fixed-income-trust/,10,9,0
561,stanlib-cash-trust-formerly-stanbic-cash-trust,Stanbic Cash Trust,stanbic cash trust,https://annualreportsghana.com/cis/stanlib-cash-trust-formerly-stanbic-cash-trust/,47,32,13
586,stanlib-income-fund-trust-formerly-stanbic-income-fund-trust,Stanbic Income Fund Trust,stanbic income fund trust,https://annualreportsghana.com/cis/stanlib-income-fund-trust-formerly-stanbic-income-fund-trust/,50,33,15
5466,tesah-treasury-trust,Tesah Treasury Trust,,https://annualreportsghana.com/cis/tesah-treasury-trust/,10,1,1
4961,umb-balanced-fund,UMB Balanced Fund,,https://annualreportsghana.com/cis/umb-balanced-fund/,9,0,6
